"Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"Ext-Blank1","ExtBlank1","ExtBlank1","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank2","ExtBlank2","ExtBlank2","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank3","ExtBlank3","ExtBlank3","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank4","ExtBlank4","ExtBlank4","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"ExtBlank1","ExtBlank1_22","ExtBlank1_22","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"ExtBlank2","ExtBlank2_22","ExtBlank2_22","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Field-blank1","Field-blank1","Field-blank1","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"Field-blank2","Field-blank2","Field-blank2","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"Field-blank3","Field-blank3","Field-blank3","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"N17","N17","N17","N17","Env","Env","EnvFiPos",1,4,11910,"NestEnvironment","FSSC_Infected"
"N2","N2","N2","N2","Env","Env","EnvFiPos",1,4,13696,"NestEnvironment","FSSC_Infected"
"N22-22","N22","N22","N22","Env","Env","EnvFiPos","NA","NA",0,"NestEnvironment","PCR(-)/NoFSSC"
"N24","N24","N24","N24","Env","Env","EnvFiNeg","NA","NA",0,"NestEnvironment","PCR(-)/NoFSSC"
"N24-2","N24-2","N24-2","N24-2","Env","Env","EnvFiNeg",1,6,2305,"NestEnvironment","FSSC_Infected"
"N26","N26","N26","N26","Env","Env","EnvFiPos",1,2,11421,"NestEnvironment","FSSC_Infected"
"N28","Pu.N4","N28","N28","Env","Env","EnvFiNeg","NA","NA",0,"NestEnvironment","PCR(-)/NoFSSC"
"N29","N29","N29","N29","Env","Env","EnvFiPos",1,2,14166,"NestEnvironment","FSSC_Infected"
"N3","Pu.N3","N3","N3","Env","Env","EnvFiPos",1,5,10755,"NestEnvironment","FSSC_Infected"
"N30","N30","N30","N30","Env","Env","EnvFiPos",0,0,0,"NestEnvironment","PCR(-)/NoFSSC"
"N31","N31","N31","N31","Env","Env","EnvFiPos",1,3,12871,"NestEnvironment","FSSC_Infected"
"N32","N32","N32","N32","Env","Env","EnvFiPos",1,3,20376,"NestEnvironment","FSSC_Infected"
"N4","N4","N4","N4","Env","Env","EnvFiNeg","NA","NA",0,"NestEnvironment","PCR(-)/NoFSSC"
"N5","N5","N5","N5","Env","Env","EnvFiPos",1,2,19047,"NestEnvironment","FSSC_Infected"
"N6","N6","N6","N6","Env","Env","EnvFiPos",1,1,18685,"NestEnvironment","FSSC_Infected"
"N7","N7","N7","N7","Env","Env","EnvFiNeg","NA","NA",0,"NestEnvironment","PCR(-)/NoFSSC"
"N8","N8","N8","N8","Env","Env","EnvFiPos",1,3,13944,"NestEnvironment","FSSC_Infected"
"N9","N9","N9","N9","Env","Env","EnvFiPos",1,4,11974,"NestEnvironment","FSSC_Infected"
"NHE41","Pu.NHE41-3201","NHE41","N32","Egg","EviUn","EFiPos",1,1,8599,"UnhatchedEggED","FSSC_Infected"
"NHE53","Pu.NHE53","NHE53-2","N29","Egg","EviUn","EFiPos",1,1,9551,"UnhatchedEggED","FSSC_Infected"
